time	txpkts	txbytes	rxpkts	rxbytes
1	0	0	0	0
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	0	0	0	0
8	0	0	0	0
9	2975	2255665	3125	276832
10	3716	2949834	3956	354480
11	3869	3026937	4009	354287
12	3357	2603984	3597	316680
13	4380	3548581	4634	411873
14	4783	3841539	5179	464715
15	4667	3601326	4938	435833
16	3560	2784171	3790	331247
17	3989	3256875	4380	390470
18	3439	2728184	3785	335986
19	4448	3572465	4815	433829
20	4230	3398545	4594	399670
21	3675	2876256	3929	347522
22	4269	3321510	4635	415041
23	3600	2857758	3839	337540
24	3755	2894336	4011	360439
25	4399	3483493	4780	422615
26	4654	3529900	5049	444506
27	4125	3163935	4519	397317
28	3323	2655894	3764	331550
29	3241	2478109	3568	311021
30	4267	3218082	4582	402844
31	3423	2624236	3720	327505
32	3591	2757919	3989	351225
33	4103	3088174	4446	390450
34	3770	2880071	4064	360001
35	3537	2700196	3889	342215
36	3879	3046216	4201	369675
37	3687	2786541	3982	348880
38	4260	3195163	4554	398691
39	3821	2772225	4348	388000
40	3380	2580933	3788	336342
41	3945	3004046	4328	385692
42	4354	3357316	4754	423748
43	3941	3039780	4269	377235
44	4328	3339543	4617	411627
45	3534	2720470	3818	336280
46	3560	2783515	4028	359444
47	4125	3175215	4477	402538
48	3912	3033657	4282	382872
49	3597	2788255	4083	362831
50	3469	2678376	3902	348989
51	4174	3225892	4514	398368
52	4029	3153772	4452	395662
53	3506	2667087	3791	335990
54	3437	2677720	3763	330714
55	3786	2948068	4153	367849
56	4411	3481887	4796	424478
57	3987	3094295	4236	371413
58	4033	3042493	4382	383171
59	3828	2741748	4214	369829
60	3281	2498177	3704	329588
61	4037	3069604	4327	379330
62	3985	3066231	4358	385020
63	4343	3292347	4695	413684
64	4308	3229722	4646	408727
65	4709	3633289	5119	452220
66	4004	3068622	4332	385052
67	4769	3693241	5125	453430
68	3841	2894733	4256	378067
69	3713	2797664	4206	375140
70	3706	2868652	4082	363146
71	3773	2856520	4094	361708
72	4057	3215512	4461	401353
