time	txpkts	txbytes	rxpkts	rxbytes
1	2	1076	2	206
6	2	1076	2	206
7	177	1442099	160	10598
8	327	240731	345	29874
9	4183	3184461	4345	385602
10	3401	2693695	3572	317926
11	3558	2811076	3777	333806
12	3519	2739139	3744	332878
13	3259	2648457	3515	310042
14	3321	2629595	3595	318911
15	3466	2710525	3717	330563
16	3286	2567287	3525	311772
17	4006	3170693	4377	385173
18	3903	3157977	4248	378468
19	3738	3004807	4086	363079
20	3226	2569277	3509	310127
21	4108	3292174	4408	390280
22	4599	3586179	4898	434204
23	3576	2780111	3870	343580
24	3745	2996574	4019	356715
25	3221	2501721	3515	311634
26	3348	2620183	3716	329215
27	3841	2964502	4188	370749
28	3517	2706716	3842	337801
29	3346	2568292	3740	329593
30	3509	2751144	3850	338372
31	4337	3297287	4649	409589
32	4422	3416844	4745	416848
33	4023	3055146	4395	387271
34	3879	2888574	4204	370736
35	3194	2478159	3519	311272
36	3940	2963787	4258	374521
37	4604	3653635	4971	438003
38	3592	2663592	3925	343566
39	4730	3404492	5280	467547
40	3837	2941858	4331	388704
41	4219	3194125	4594	407375
42	3695	2873465	4055	363297
43	3922	2983778	4284	379607
44	4097	3172961	4475	396015
45	4483	3472504	4852	430634
46	3367	2581171	3730	332487
47	3489	2700606	3802	336603
48	3369	2635537	3728	328669
49	3787	2952245	4118	364710
50	4436	3453089	4747	421663
51	4061	3170772	4435	388015
52	3935	3031314	4340	386011
53	3615	2792051	3939	348988
54	3814	2947923	4108	362163
55	4923	3795866	5245	463689
56	4165	3289058	4545	400204
57	3176	2489172	3525	308966
58	3870	2990092	4233	371699
59	4013	2997195	4355	383184
60	3410	2474316	3755	327385
61	3073	2330529	3408	299780
62	3522	2687929	3836	335868
63	3737	2852900	3999	353351
64	4082	3148681	4399	386995
65	3826	2866847	4180	366132
66	4211	3244617	4551	401910
67	3454	2606507	3783	334917
68	3240	2479660	3561	314471
69	4299	3126569	4713	418006
70	3708	2970733	4144	373595
71	3411	2621273	3720	331054
72	3288	2527745	3616	321329
73	4095	3152158	4426	392600
74	4188	3280222	4479	399480
75	3518	2674249	3836	339794
76	3376	2648704	3706	331983
77	3679	2855441	3958	349571
78	4145	3173052	4426	391597
79	3999	3065126	4330	383616
80	3693	2892974	4019	355952
81	3344	2613578	3666	325123
82	3894	2929395	4280	380758
83	4324	3287096	4680	417769
84	3588	2787192	3874	342586
85	4964	3806505	5359	474853
86	4202	3199395	4557	401268
87	3988	3044539	4325	381852
88	3305	2533889	3647	324090
89	3944	3071968	4316	383985
90	4763	3637293	5154	456071
91	4125	3164203	4488	396628
92	4437	3443638	4855	427917
93	3971	3072562	4356	385794
94	4145	3270147	4559	403494
